area_fips,cbsa,metro
54065,25180,True
16013,25200,False
16025,25200,False
22105,25220,True
06031,25260,True
29127,25300,False
29173,25300,False
42041,25420,True
42043,25420,True
42099,25420,True
05009,25460,False
05101,25460,False
51165,25500,True
51660,25500,True
09003,25540,True
09007,25540,True
09013,25540,True
31001,25580,False
28031,25620,True
28035,25620,True
28073,25620,True
28111,25620,True
20051,25700,False
49043,25720,False
49051,25720,False
30043,25740,False
30049,25740,False
05107,25760,False
37181,25780,False
48117,25820,False
41049,25840,False
41059,25840,False
37003,25860,True
37023,25860,True
37027,25860,True
37035,25860,True
26059,25880,False
15001,25900,False
45013,25940,True
45053,25940,True
13179,25980,True
13183,25980,True
35025,26020,False
26005,26090,False
12017,26140,True
41027,26220,False
05057,26260,False
05099,26260,False
05051,26300,True
26061,26340,False
26083,26340,False
22057,26380,True
22109,26380,True
48015,26420,True
48039,26420,True
48071,26420,True
48157,26420,True
48167,26420,True
48201,26420,True
48291,26420,True
48339,26420,True
48473,26420,True
36021,26460,False
42061,26500,False
18069,26540,False
21019,26580,True
21043,26580,True
21089,26580,True
39087,26580,True
54011,26580,True
54079,26580,True
54099,26580,True
01083,26620,True
01089,26620,True
48471,26660,False
46005,26700,False
46073,26700,False
20155,26740,False
27085,26780,False
16019,26820,True
16023,26820,True
16051,26820,True
42063,26860,False
18011,26900,True
18013,26900,True
18057,26900,True
18059,26900,True
18063,26900,True
18081,26900,True
18095,26900,True
18097,26900,True
18109,26900,True
18133,26900,True
18145,26900,True
28133,26940,False
19103,26980,True
19183,26980,True
26043,27020,False
55037,27020,False
36109,27060,True
26075,27100,True
28029,27140,True
28049,27140,True
28051,27140,True
28089,27140,True
28121,27140,True
28127,27140,True
28163,27140,True
39079,27160,False
47023,27180,True
47033,27180,True
47053,27180,True
47113,27180,True
16081,27220,False
56039,27220,False
12003,27260,True
12019,27260,True
12031,27260,True
12089,27260,True
12109,27260,True
17137,27300,False
17171,27300,False
37133,27340,True
48073,27380,False
38093,27420,False
36013,27460,False
55105,27500,True
01127,27530,False
18037,27540,False
18125,27540,False
72073,27580,False
13157,27600,False
29027,27620,True
29051,27620,True
29135,27620,True
29151,27620,True
22053,27660,False
13305,27700,False
47019,27740,True
47171,27740,True
47179,27740,True
42021,27780,True
05031,27860,True
05111,27860,True
29097,27900,True
29145,27900,True
02110,27940,False
15009,27980,True
26077,28020,True
30029,28060,False
17091,28100,True
20091,28140,True
20103,28140,True
20107,28140,True
20121,28140,True
20209,28140,True
29013,28140,True
29025,28140,True
29037,28140,True
29047,28140,True
29049,28140,True
29095,28140,True
29107,28140,True
29165,28140,True
29177,28140,True
15007,28180,False
31019,28260,False
31099,28260,False
33005,28300,False
18113,28340,False
29069,28380,False
53005,28420,True
53021,28420,True
48265,28500,False
02130,28540,False
12087,28580,False
37055,28620,False
48027,28660,True
48099,28660,True
48281,28660,True
47073,28700,True
47163,28700,True
51169,28700,True
51191,28700,True
51520,28700,True
36111,28740,True
48261,28780,False
48273,28780,False
37107,28820,False
29001,28860,False
29197,28860,False
41035,28900,False
47001,28940,True
47009,28940,True
47013,28940,True
47093,28940,True
47105,28940,True
47129,28940,True
47145,28940,True
47173,28940,True
18067,29020,True
33001,29060,False
27055,29100,True
