area_fips,medhhinc2000,ln_medhhinc2000
27083,38996,10.571214355749163
27085,45953,10.73537441400955
27087,30053,10.31071776859096
27089,34804,10.457487601685916
27091,34810,10.457659980805484
27093,40908,10.619080921925903
27095,36977,10.518051376717915
27097,37047,10.519942655785933
27099,36654,10.509277841877822
27101,34966,10.462131439757595
27103,46170,10.740085515501034
27105,35684,10.482457688033675
27107,32535,10.390071711929085
27109,51316,10.84575787336923
27111,35395,10.47432584620829
27113,34216,10.440448649906745
27115,37379,10.528864328377763
27117,31909,10.370643380642726
27119,35105,10.466098849451349
27121,35633,10.481027453764323
27123,45722,10.730334861483916
27125,32052,10.375114862897961
27127,37352,10.528141736650772
27129,37652,10.53614135266711
27131,48651,10.792427642387484
27133,38102,10.54802205317538
27135,39852,10.592927871164747
27137,36306,10.499738295850376
27139,66612,11.106640020478162
27141,57014,10.951052130693586
27143,41458,10.632436145559456
27145,42426,10.655516660832296
27147,46106,10.738698372359542
27149,37267,10.525863495538852
27151,34820,10.45794721332218
27153,32281,10.382234100838373
27155,30617,10.329310689232171
27157,42117,10.648206738640061
27159,30651,10.330420567259534
27161,42440,10.655846592727919
27163,66305,11.1020205881117
27165,35441,10.475624621025222
27167,38093,10.547785817200792
27169,38700,10.563594879017874
27171,53945,10.89572028798544
27173,34393,10.445608334282829
28001,25234,10.135947570487687
28003,29041,10.27646390360756
28005,26033,10.167120242980383
28007,24794,10.118356967398093
28009,24149,10.091998250355894
28011,23428,10.061687167209673
28013,27113,10.207768596643277
28015,28878,10.270835338531164
28017,26364,10.17975472217261
28019,27020,10.20433261151419
28021,22615,10.026368681911944
28023,26610,10.189042363971735
28025,27372,10.217275872072388
28027,22338,10.014044543100772
28029,26358,10.179527113203834
28031,26669,10.191257121160007
28033,48206,10.783238773619335
28035,27420,10.219027953116305
28037,24885,10.122020491292654
28039,34730,10.45535914573812
28041,28336,10.251888360022615
28043,27385,10.217750697217822
28045,35202,10.468858178153916
28047,35624,10.480774847001538
28049,33991,10.43385106267516
28051,17235,9.754697478950966
28053,20566,9.931394505789136
28055,19936,9.90028242158718
28057,31156,10.34676212203984
28059,39118,10.574337998097462
28061,24441,10.10401732897875
28063,18447,9.82265703462158
28065,21834,9.991223666840215
28067,28786,10.267644436822616
28069,23998,10.085725772524334
28071,28517,10.258255679654631
28073,37628,10.535503733091842
28075,30768,10.334230467828561
28077,28495,10.2574839122691
28079,27055,10.205627110076836
28081,36165,10.495847079283381
28083,21518,9.976645073153854
28085,27279,10.213872454394023
28087,32123,10.377327563450146
28089,46970,10.757264379021041
28091,24555,10.108670778473344
28093,28756,10.266601720103763
28095,30307,10.319133987918043
28097,25270,10.13737320038224
28099,28300,10.25061708363133
28101,28735,10.265871170941843
28103,22330,10.013686344834204
28105,24899,10.122582921003769
28107,26785,10.19559730831506
28109,30912,10.338899737012245
28111,27189,10.210567758722892
28113,24562,10.10895581217033
28115,32055,10.375208456421358
28117,28446,10.255762832130173
28119,20636,9.93479240236454
28121,44946,10.713217048175938
28123,26686,10.191894362302365
28125,22285,10.011669085380657
28127,28343,10.252135365087474
28129,30840,10.336567827677266
28131,30495,10.325318014730557
28133,24970,10.12543038327382
28135,22229,10.00915302169091
28137,35836,10.486708253717469
28139,29300,10.285342795005159
28141,28315,10.251146978547906
28143,23270,10.054920256296338
28145,32682,10.39457974661173
28147,22945,10.040855326828934
28149,35056,10.464702061835247
28151,25757,10.156461713809012
28153,25918,10.16269298699536
28155,28834,10.26931052537185
28157,18929,9.84845041660622
28159,28256,10.249061103403687
28161,26315,10.17789439778788
28163,24795,10.118397298923234
29001,26677,10.191557049929173
29003,40688,10.613688487661902
29005,30959,10.340419027440413
29007,32057,10.37527084723745
29009,28906,10.271804465008787
29011,29275,10.284489188465917
29013,30731,10.333027196085467
29015,26646,10.190394324520158
29017,30462,10.32423528417545
29019,37485,10.531696131937162
29021,34704,10.454610233066656
29023,27228,10.212001134567842
29025,31240,10.349454603953623
29027,39110,10.57413346774956
29029,35840,10.486819867088867
29031,36458,10.503916192092866
29033,30643,10.33015953028869
29035,22863,10.037275162334227
29037,49562,10.810979690053934
29039,26694,10.192194100034097
29041,32285,10.382358005060567
29043,38085,10.547575782806888
29045,29457,10.2906868518374
29047,48347,10.786159451386606
29049,41629,10.636552318761908
29051,42924,10.667186389047018
29053,35313,10.47200644708059
29055,30860,10.337216125917152
29057,29097,10.278390355061653
29059,27346,10.216325544869028
29061,30855,10.337054090755167
29063,31654,10.362619801893228
29065,27193,10.210714866221961
29067,25918,10.16269298699536
29069,24878,10.12173915776991
29071,43474,10.679918337232811
29073,35047,10.464445296788119
29075,28750,10.266393046225497
29077,34157,10.438722822031876
29079,27333,10.215850042381968
29081,28707,10.264896274447372
29083,30949,10.34009596741305
29085,25346,10.14037620564201
29087,29461,10.290822633771823
29089,31614,10.36135533943734
29091,25628,10.151440782758913
29093,26080,10.16892401604059
29095,39277,10.578394384806286
29097,31323,10.352107930958221
29099,46338,10.74371763779732
29101,35391,10.474212829509952
29103,27124,10.208174223803733
29105,29562,10.294245031772018
29107,38235,10.551506605478325
29109,31239,10.349422593198005
29111,30651,10.330420567259534
29113,42592,10.659421721194839
29115,28242,10.248565510629197
29117,32290,10.382512863752321
29119,27010,10.203962446786662
29121,30195,10.315431626742
29123,25601,10.150386692204734
29125,31925,10.37114468090074
29127,31774,10.366403624279968
29129,29640,10.296880079410023
29131,30977,10.341000272613067
29133,23012,10.043771097983184
29135,37168,10.52320345501019
29137,30871,10.337572510881479
29139,32772,10.397329771261706
29141,30659,10.330681536107859
29143,26826,10.197126845462035
29145,35041,10.464274083455889
29147,31781,10.366623905926678
29149,22359,10.014984203549803
29151,39565,10.585700168043294
29153,25861,10.16049132133844
29155,21911,9.99474407280768
29157,36632,10.508677454336931
29159,31822,10.367913153467802
29161,29378,10.28800137389136
29163,32373,10.385080021031843
29165,55849,10.930406899234095
29167,29656,10.297419744830568
29169,34247,10.441354248613159
29171,26282,10.176639573203584
29173,37094,10.521210510449233
29175,31464,10.356599314111646
29177,41886,10.642706921198457
29179,25867,10.160723304018108
29181,22761,10.032803824006184
29183,57258,10.955322649645309
29185,25321,10.139389369949
29186,39200,10.576432025778553
29187,31199,10.348141322001869
29189,50532,10.830362077949928
29195,32743,10.396444477759635
29197,27385,10.217750697217822
29199,27409,10.218626705595922
29201,31352,10.353033339879467
29203,20878,9.946451251968243
29205,29448,10.290381275058857
29207,26987,10.203110547555557
29209,32637,10.393201893089193
29211,26107,10.169958756585515
29213,30898,10.338446735871996
29215,24545,10.108263446492153
29217,30021,10.309652415758565
29219,41016,10.621717513463537
29221,27112,10.207731713286888
29223,24007,10.086100733470296
29225,31929,10.371269966709153
29227,27471,10.220886181775843
29229,24691,10.114194083746655
29510,27156,10.209353295421538
30001,28962,10.273739904888547
30003,27684,10.228609907961754
30005,25247,10.136462615763627
30007,32689,10.394793908855744
30009,32139,10.377825524930667
30011,26313,10.177818392619491
30013,32971,10.403383666209391
30015,29150,10.280210191778638
30017,30000,10.308952660644293
30019,27306,10.214861737244696
30021,31393,10.354340217107467
30023,26305,10.177514314164908
30025,29944,10.307084249584264
30027,30409,10.32249389621096
30029,34466,10.447728609841523
30031,38120,10.548494357768138
30033,25917,10.162654403026995
30035,27921,10.23713437285382
30037,27308,10.214934978538171
30039,27813,10.233258816275091
30041,30781,10.334652895494106
30043,41506,10.633593274081605
30045,29241,10.28332711300532
30047,28740,10.266045159633016
30049,37360,10.528355892342779
30051,30284,10.318374799223196
30053,26754,10.194439273855531
30055,29718,10.299508201816293
30057,30233,10.316689322016014
30059,29375,10.28789925144646
30061,27143,10.208874465231354
30063,34454,10.447380380006315
30065,25527,10.147491994517667
30067,31739,10.36530148759794
30069,24107,10.09025753373598
30071,28702,10.264722085730877
30073,30464,10.324300937591092
30075,28398,10.254073999134302
30077,30625,10.329571947847029
30079,25451,10.144510313937575
30081,31992,10.373241150526654
30083,32110,10.37692278708356
30085,24834,10.119968960976788
30087,35898,10.488436862618087
30089,26852,10.198095585058642
30091,29518,10.292755525741722
30093,30402,10.322263674703965
30095,39205,10.576559568665022
30097,32422,10.386592483701518
30099,30197,10.315497860680296
30101,30169,10.314570186094999
30103,29830,10.303269877508795
30105,30979,10.341064834560278
30107,24492,10.106101812597846
30109,28224,10.247927958806518
30111,36727,10.511267458374771
31001,37160,10.522988192927775
31003,30114,10.312745458882988
31005,27375,10.217385467118802
