"label","h","b_raw","se_raw","p_raw","b_sur","se_sur","p_sur","se_ratio","se_diff","p_diff","lo_raw","hi_raw","lo_sur","hi_sur"
"full 2002-2019",11,0.404149068248365,0.473593030809756,0.393455342417581,-1.5223329516395,2.80950152588334,0.587920727904912,5.93231180171637,2.849138322857,0.498937137994618,-0.524076222789648,1.33237435928638,-7.02885480031591,3.98418889703691
"full 2002-2019",12,0.213357167915353,0.548687267394837,0.697386943966522,-1.96214091137514,2.90847651600949,0.499911873233842,5.30079097665035,2.95977927582107,0.462327084181026,-0.862050123436901,1.28876445926761,-7.66265017759916,3.73836835484888
"excl 2009-2012",0,0.151769055011306,0.126601154202871,0.230606977985469,0.107754291976167,0.733883331558709,0.883268138143604,5.79681390884244,0.744723167751084,0.952870721943131,-0.0963646495847698,0.399902759607382,-1.33063061807897,1.5461392020313
"excl 2009-2012",1,0.355828546977849,0.154608326988605,0.021364304759431,-0.0357335956850402,0.996649537087111,0.971398996413755,6.44628628030214,1.00857029231986,0.697842240492726,0.0528017919799548,0.658855301975743,-1.98913080899244,1.91766361762236
"excl 2009-2012",2,0.680628275131555,0.168531260627161,5.37739899365443e-05,-0.70002384355331,1.15691909880458,0.545128578795644,6.86471515432388,1.16912984180004,0.237633381951817,0.350313071427702,1.01094347883541,-2.96754362812273,1.56749594101611
"excl 2009-2012",3,0.763518006682932,0.154619578814212,7.89107651817365e-07,-0.892026955157937,1.8017860701962,0.620544157210345,11.6530266348817,1.80840821080467,0.35994451032473,0.460469198511914,1.06656681485395,-4.42346278844396,2.63940887812809
"excl 2009-2012",4,0.898347400947207,0.261146802229431,0.000581694423378759,-0.978282807352937,2.14691670193022,0.648628211264936,8.22111043903974,2.16274107958895,0.38555357945044,0.386509069862403,1.41018573203201,-5.1861622541349,3.22959663942902
"excl 2009-2012",5,0.936181044254174,0.334146326816252,0.0050832574124453,-1.13837536490322,2.38969811978069,0.633812332166516,7.15165162086248,2.41294651233884,0.389921006580575,0.281266272962086,1.59109581554626,-5.82209765054106,3.54534692073462
"excl 2009-2012",6,1.01394533801543,0.303096625610048,0.000821973332629214,-1.12585801134432,2.88002715090665,0.695856935408471,9.50200994521128,2.89593231178073,0.459967939556412,0.419886863298258,1.6080038127326,-6.77060754614392,4.51889152345528
"excl 2009-2012",7,0.880917174106003,0.294768210927677,0.00280343106264175,-0.906229922500511,3.14539982669659,0.773260401871053,10.6707565812391,3.15918159781239,0.571598151309035,0.30318209234335,1.45865225586866,-7.07110034843207,5.25864050343104
"excl 2009-2012",8,0.787335643911942,0.333299346491365,0.0181644966076059,-1.15621838639472,3.09718565145487,0.708915809810907,9.29250442300255,3.11506780246426,0.532679929492379,0.13408092356534,1.44059036425854,-7.22659076456281,4.91415399177337
"excl 2009-2012",9,0.617486922362193,0.397790007801145,0.120591965070652,-0.853674803835934,3.01407834093486,0.777001195201759,7.5770589552908,3.04021465288211,0.628456407182444,-0.16216717248777,1.39714101721216,-6.76115984524799,5.05381023757612
"excl 2009-2012",10,0.588828492555498,0.402707079961234,0.143693078287908,-0.780356340055843,3.0552763294496,0.798404372053468,7.58684533121124,3.08170187421592,0.656829292633998,-0.200462886713642,1.37811987182464,-6.7685879558292,5.20787527571751
"excl 2009-2012",11,0.360200110318541,0.435918984094798,0.408633603363359,-1.30715819912735,3.08721138073403,0.671995670818988,7.08207601269015,3.11783570285991,0.59280152148986,-0.494185405423836,1.21458562606092,-7.35798136575634,4.74366496750164
"excl 2009-2012",12,0.174234501386119,0.497043550963857,0.7259321856305,-1.12697931920995,3.18906888603941,0.723797429543439,6.41607537177624,3.22757070433157,0.686833619806938,-0.799952964935206,1.14842196770744,-7.3774395293673,5.1234808909474
