"h","b_raw","se_raw","n_raw","b_sur","se_sur","n_sur","se_ratio","p_raw","p_sur","sample","counties"
1,0.343681827751395,0.128410081515097,196753,-0.63995400914366,0.758288140428916,196753,5.90520721957306,0.00744089753253474,0.398699753936588,"drop smallest 1",2814
2,0.592295263424752,0.15481567719871,193939,-0.896596304111062,0.949137206308937,193939,6.13075641616511,0.00013034314525286,0.344840904774948,"drop smallest 1",2814
3,0.661717553256774,0.164489727604346,191126,-1.01496926245372,1.47626559658603,191126,8.97481938894662,5.74980399437343e-05,0.491752055414085,"drop smallest 1",2814
4,0.749733851488261,0.253167583296824,188312,-1.0730949557883,1.73306094487695,188312,6.84550890089683,0.00306230685283816,0.535790838005198,"drop smallest 1",2814
5,0.785124366095535,0.322007575265348,185498,-1.3676993841294,1.92162316868096,185498,5.96763342321204,0.0147599079201427,0.476624726307845,"drop smallest 1",2814
6,0.801053564346901,0.307643102565715,182684,-1.13908432726861,2.34984909706114,182684,7.63823104585676,0.00921856516776562,0.627855210525653,"drop smallest 1",2814
7,0.678635082519764,0.303846782967404,179872,-0.854592491156056,2.51791936556827,179872,8.28680607040814,0.0255174444305375,0.734305230136451,"drop smallest 1",2814
8,0.53715203557237,0.336549292127794,177059,-1.20790516413747,2.45421346382327,177059,7.29228532411045,0.110475947113706,0.622594872080362,"drop smallest 1",2814
9,0.410209620813956,0.390992739334094,174244,-1.02035469545303,2.38380217581787,174244,6.09679397084908,0.294109571287237,0.668624438162396,"drop smallest 1",2814
10,0.343728894363094,0.416098475510957,171430,-0.9797046312898,2.42728931463442,171430,5.83344918929054,0.408761076327236,0.686491534442564,"drop smallest 1",2814
11,0.153650567464008,0.456634414946957,168616,-1.27071911437095,2.49515767254422,168616,5.46423482521366,0.73650526619319,0.610560127531206,"drop smallest 1",2814
12,-0.039472499690586,0.518842430550823,165802,-1.4278290163862,2.55657991403486,165802,4.92746884891566,0.939357034798897,0.576508576113164,"drop smallest 1",2814
0,0.154573439138857,0.0801938583712913,177518,-0.615527984676165,0.432270972724314,177518,5.39032516334272,0.0539176940750298,0.154463804078731,"drop smallest 2",2501
1,0.30028135882478,0.0993200894657984,175016,-0.646561207202304,0.613966155705117,175016,6.18169152894834,0.002499765714038,0.292300052877238,"drop smallest 2",2501
2,0.496846228115882,0.155558678633334,172515,-0.754447259215198,0.946740080687943,172515,6.08606404352081,0.00140341714113069,0.425515191315203,"drop smallest 2",2501
